l_code,l_name,year,day,rm
822,延岡,2006,-,-
822,延岡,2007,-,-
822,延岡,2008,-,-
822,延岡,2009,-,-
822,延岡,2010,-,-
822,延岡,2011,-,-
822,延岡,2012,-,-
822,延岡,2013,-,-
822,延岡,2014,-,-
822,延岡,2015,-,-
827,鹿児島,1996,331,8
827,鹿児島,1997,330,8
827,鹿児島,1998,409,8
827,鹿児島,1999,406,8
827,鹿児島,2000,406,8
827,鹿児島,2001,405,8
827,鹿児島,2002,401,8
827,鹿児島,2003,402,8
827,鹿児島,2004,406,8
827,鹿児島,2005,409,8
827,鹿児島,2006,329,8
827,鹿児島,2007,404,8
827,鹿児島,2008,412,8
827,鹿児島,2009,401,8
827,鹿児島,2010,406,8
827,鹿児島,2011,405,8
827,鹿児島,2012,405,8
827,鹿児島,2013,326,8
827,鹿児島,2014,331,8
827,鹿児島,2015,331,8
830,宮崎,1996,403,8
830,宮崎,1997,331,8
830,宮崎,1998,401,8
830,宮崎,1999,405,8
830,宮崎,2000,405,8
830,宮崎,2001,402,9
830,宮崎,2002,329,9
830,宮崎,2003,330,9
830,宮崎,2004,402,9
830,宮崎,2005,405,9
830,宮崎,2006,330,9
830,宮崎,2007,403,9
830,宮崎,2008,406,9
830,宮崎,2009,323,9
830,宮崎,2010,402,9
830,宮崎,2011,404,9
830,宮崎,2012,403,9
830,宮崎,2013,322,9
830,宮崎,2014,328,9
830,宮崎,2015,401,9
836,屋久島,1996,-,-
836,屋久島,1997,-,-
836,屋久島,1998,-,-
836,屋久島,1999,-,-
836,屋久島,2000,-,-
836,屋久島,2001,-,-
836,屋久島,2002,-,-
836,屋久島,2003,-,-
836,屋久島,2004,-,-
836,屋久島,2005,-,-
836,屋久島,2006,-,-
836,屋久島,2007,-,-
836,屋久島,2008,-,-
836,屋久島,2009,-,-
836,屋久島,2010,-,-
836,屋久島,2011,-,-
836,屋久島,2012,-,-
836,屋久島,2013,-,-
836,屋久島,2014,-,-
836,屋久島,2015,-,-
837,種子島,1996,328,9
837,種子島,1997,330,9
837,種子島,1998,-,-
837,種子島,1999,-,-
837,種子島,2000,412,9
837,種子島,2001,423,9
837,種子島,2002,-,-
837,種子島,2003,403,9
837,種子島,2004,331,9
837,種子島,2005,409,9
837,種子島,2006,331,9
837,種子島,2007,425,9
837,種子島,2008,-,-
837,種子島,2009,-,-
837,種子島,2010,-,-
837,種子島,2011,-,-
837,種子島,2012,-,-
837,種子島,2013,-,-
837,種子島,2014,-,-
837,種子島,2015,-,-
843,福江,1996,405,8
843,福江,1997,330,8
843,福江,1998,403,8
843,福江,1999,405,8
843,福江,2000,403,8
843,福江,2001,403,8
843,福江,2002,330,8
843,福江,2003,331,8
843,福江,2004,403,9
843,福江,2005,408,9
843,福江,2006,403,9
843,福江,2007,409,8
843,福江,2008,408,8
843,福江,2009,401,8
843,福江,2010,-,-
843,福江,2011,-,-
843,福江,2012,-,-
843,福江,2013,-,-
843,福江,2014,-,-
843,福江,2015,-,-
887,松山,1996,408,9
887,松山,1997,401,9
887,松山,1998,405,9
887,松山,1999,402,9
887,松山,2000,404,9
887,松山,2001,330,9
887,松山,2002,326,9
887,松山,2003,402,9
887,松山,2004,402,9
887,松山,2005,407,9
887,松山,2006,403,9
887,松山,2007,401,9
887,松山,2008,404,9
887,松山,2009,401,9
887,松山,2010,402,9
887,松山,2011,406,9
887,松山,2012,404,9
887,松山,2013,327,9
887,松山,2014,329,9
887,松山,2015,401,9
891,高松,1996,410,9
891,高松,1997,404,9
891,高松,1998,402,9
891,高松,1999,404,9
891,高松,2000,406,9
891,高松,2001,331,9
891,高松,2002,323,9
891,高松,2003,404,9
891,高松,2004,403,9
891,高松,2005,406,9
891,高松,2006,406,9
891,高松,2007,404,9
891,高松,2008,403,9
891,高松,2009,403,9
891,高松,2010,404,9
891,高松,2011,408,9
891,高松,2012,406,9
891,高松,2013,330,9
891,高松,2014,331,9
891,高松,2015,401,9
892,宇和島,1996,401,9
892,宇和島,1997,329,9
892,宇和島,1998,403,9
892,宇和島,1999,401,9
892,宇和島,2000,404,9
892,宇和島,2001,328,9
892,宇和島,2002,323,9
892,宇和島,2003,328,9
892,宇和島,2004,401,9
892,宇和島,2005,405,9
892,宇和島,2006,-,-
892,宇和島,2007,-,-
892,宇和島,2008,-,-
892,宇和島,2009,-,-
892,宇和島,2010,-,-
892,宇和島,2011,-,-
892,宇和島,2012,-,-
892,宇和島,2013,-,-
892,宇和島,2014,-,-
892,宇和島,2015,-,-
893,高知,1996,402,9
893,高知,1997,326,9
893,高知,1998,331,9
893,高知,1999,401,9
893,高知,2000,403,9
893,高知,2001,330,9
893,高知,2002,323,9
893,高知,2003,325,9
893,高知,2004,331,9
893,高知,2005,406,9
893,高知,2006,324,9
893,高知,2007,401,9
893,高知,2008,328,9
893,高知,2009,324,9
893,高知,2010,321,9
893,高知,2011,331,9
893,高知,2012,327,9
893,高知,2013,322,9
893,高知,2014,325,9
893,高知,2015,330,9
895,徳島,1996,406,8
895,徳島,1997,402,8
895,徳島,1998,403,8
895,徳島,1999,402,8
895,徳島,2000,407,8
895,徳島,2001,403,8
895,徳島,2002,327,8
895,徳島,2003,403,8
895,徳島,2004,403,8
895,徳島,2005,406,8
895,徳島,2006,404,8
895,徳島,2007,403,8
895,徳島,2008,403,8
895,徳島,2009,403,8
895,徳島,2010,406,8
895,徳島,2011,408,8
895,徳島,2012,405,8
895,徳島,2013,330,8
895,徳島,2014,401,8
895,徳島,2015,403,8
909,名瀬,1996,122,6
909,名瀬,1997,127,6
909,名瀬,1998,127,6
909,名瀬,1999,204,6
909,名瀬,2000,131,6
909,名瀬,2001,205,6
909,名瀬,2002,129,6
909,名瀬,2003,126,6
909,名瀬,2004,201,6
909,名瀬,2005,208,6
909,名瀬,2006,124,6
909,名瀬,2007,207,6
909,名瀬,2008,202,6
909,名瀬,2009,204,6
909,名瀬,2010,203,6
909,名瀬,2011,207,6
909,名瀬,2012,130,6
909,名瀬,2013,128,6
909,名瀬,2014,131,6
909,名瀬,2015,129,6
912,与那国島,1996,217,7
912,与那国島,1997,212,7
912,与那国島,1998,301,7
912,与那国島,1999,303,7
912,与那国島,2000,206,7
912,与那国島,2001,221,7
912,与那国島,2002,214,7
912,与那国島,2003,210,7
912,与那国島,2004,211,7
912,与那国島,2005,215,7
912,与那国島,2006,131,7
912,与那国島,2007,216,7
912,与那国島,2008,-,-
912,与那国島,2009,-,-
912,与那国島,2010,-,-
912,与那国島,2011,-,-
912,与那国島,2012,-,-
912,与那国島,2013,-,-
912,与那国島,2014,-,-
912,与那国島,2015,-,-
917,西表島,1996,128,7
917,西表島,1997,204,7
917,西表島,1998,215,7
917,西表島,1999,303,7
917,西表島,2000,208,7
917,西表島,2001,215,7
917,西表島,2002,207,7
917,西表島,2003,-,-
917,西表島,2004,-,-
917,西表島,2005,-,-
917,西表島,2006,-,-
917,西表島,2007,-,-
917,西表島,2008,-,-
917,西表島,2009,-,-
917,西表島,2010,-,-
917,西表島,2011,-,-
917,西表島,2012,-,-
917,西表島,2013,-,-
917,西表島,2014,-,-
917,西表島,2015,-,-
918,石垣島,1996,123,6
918,石垣島,1997,206,6
918,石垣島,1998,301,6
918,石垣島,1999,224,6
918,石垣島,2000,203,6
918,石垣島,2001,208,6
918,石垣島,2002,201,6
918,石垣島,2003,220,6
918,石垣島,2004,202,6
918,石垣島,2005,207,6
918,石垣島,2006,202,6
918,石垣島,2007,227,7
918,石垣島,2008,220,7
918,石垣島,2009,216,7
918,石垣島,2010,208,7
918,石垣島,2011,210,7
918,石垣島,2012,209,7
918,石垣島,2013,214,7
918,石垣島,2014,210,7
918,石垣島,2015,124,7
927,宮古島,1996,125,7
927,宮古島,1997,127,7
927,宮古島,1998,201,7
927,宮古島,1999,219,7
927,宮古島,2000,123,7
927,宮古島,2001,209,7
927,宮古島,2002,204,7
927,宮古島,2003,203,7
927,宮古島,2004,301,7
927,宮古島,2005,216,7
927,宮古島,2006,131,7
927,宮古島,2007,219,7
927,宮古島,2008,221,7
927,宮古島,2009,207,7
927,宮古島,2010,131,7
927,宮古島,2011,128,7
927,宮古島,2012,130,7
927,宮古島,2013,201,7
927,宮古島,2014,203,7
927,宮古島,2015,204,7
929,久米島,1996,128,7
929,久米島,1997,201,7
929,久米島,1998,209,7
929,久米島,1999,208,7
929,久米島,2000,124,7
929,久米島,2001,125,7
929,久米島,2002,128,7
929,久米島,2003,209,7
929,久米島,2004,201,7
929,久米島,2005,-,-
929,久米島,2006,-,-
929,久米島,2007,-,-
929,久米島,2008,-,-
929,久米島,2009,-,-
929,久米島,2010,-,-
929,久米島,2011,-,-
929,久米島,2012,-,-
929,久米島,2013,-,-
929,久米島,2014,-,-
929,久米島,2015,-,-
936,那覇,1996,202,7
936,那覇,1997,201,7
936,那覇,1998,128,7
936,那覇,1999,215,7
936,那覇,2000,203,7
936,那覇,2001,205,7
936,那覇,2002,205,7
936,那覇,2003,207,7
936,那覇,2004,210,7
936,那覇,2005,214,7
936,那覇,2006,124,7
936,那覇,2007,216,7
936,那覇,2008,125,7
936,那覇,2009,123,7
936,那覇,2010,201,7
936,那覇,2011,202,7
936,那覇,2012,206,7
936,那覇,2013,123,7
936,那覇,2014,127,7
936,那覇,2015,129,7
940,名護,1996,124,7
940,名護,1997,129,7
940,名護,1998,212,7
940,名護,1999,201,7
940,名護,2000,126,7
940,名護,2001,202,7
940,名護,2002,131,7
940,名護,2003,-,-
940,名護,2004,-,-
940,名護,2005,-,-
940,名護,2006,-,-
940,名護,2007,-,-
940,名護,2008,-,-
940,名護,2009,-,-
940,名護,2010,-,-
940,名護,2011,-,-
940,名護,2012,-,-
940,名護,2013,-,-
940,名護,2014,-,-
940,名護,2015,-,-
945,南大東島,1996,203,7
945,南大東島,1997,220,7
945,南大東島,1998,-,-
945,南大東島,1999,212,7
945,南大東島,2000,127,7
945,南大東島,2001,129,7
945,南大東島,2002,129,7
945,南大東島,2003,205,7
945,南大東島,2004,207,7
945,南大東島,2005,218,7
945,南大東島,2006,127,7
945,南大東島,2007,214,7
945,南大東島,2008,204,7
945,南大東島,2009,209,7
945,南大東島,2010,215,7
945,南大東島,2011,204,7
945,南大東島,2012,201,7
945,南大東島,2013,121,7
945,南大東島,2014,122,7
945,南大東島,2015,213,7
401,稚内,2016,515,7
401,稚内,2017,511,7
401,稚内,2018,515,7
406,留萌,2016,-,-
406,留萌,2017,-,-
406,留萌,2018,-,-
407,旭川,2016,504,7
407,旭川,2017,505,7
407,旭川,2018,501,7
409,網走,2016,510,7
409,網走,2017,507,7
409,網走,2018,506,7
412,札幌,2016,501,8
412,札幌,2017,503,8
412,札幌,2018,429,8
413,岩見沢,2016,-,-
413,岩見沢,2017,-,-
413,岩見沢,2018,-,-
417,帯広,2016,503,6
417,帯広,2017,502,6
417,帯広,2018,428,6
418,釧路,2016,513,7
418,釧路,2017,518,7
418,釧路,2018,514,7
420,根室,2016,-,-
420,根室,2017,-,-
420,根室,2018,-,-
423,室蘭,2016,502,9
423,室蘭,2017,504,9
423,室蘭,2018,501,9
426,浦河,2016,-,-
426,浦河,2017,-,-
426,浦河,2018,-,-
428,江差,2016,-,-
428,江差,2017,-,-
428,江差,2018,-,-
430,函館,2016,426,9
430,函館,2017,430,9
430,函館,2018,428,9
433,倶知安,2016,-,-
433,倶知安,2017,-,-
433,倶知安,2018,-,-
435,紋別,2016,-,-
435,紋別,2017,-,-
435,紋別,2018,-,-
440,広尾,2016,-,-
440,広尾,2017,-,-
440,広尾,2018,-,-
520,新庄,2016,-,-
520,新庄,2017,-,-
520,新庄,2018,-,-
575,青森,2016,421,8
575,青森,2017,421,8
575,青森,2018,422,8
581,八戸,2016,-,-
581,八戸,2017,-,-
581,八戸,2018,-,-
582,秋田,2016,419,8
